,company_name,sic,office,industry,cik
HUBB,HUBBELL INC,3670,Office of Manufacturing,ELECTRONIC COMPONENTS & ACCESSORIES,48898
HUBG,HUB GROUP INC,4731,Office of Energy & Transportation,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO,940942
HUBS,HUBSPOT INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1404655
HUM,HUMANA INC,6324,Office of Finance,HOSPITAL & MEDICAL SERVICE PLANS,49071
HUMA,"Humacyte, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1818382
HUN,HUNTSMAN INTERNATIONAL LLC,2800,Industrial Applications and Services,CHEMICALS & ALLIED PRODUCTS,1089748
HURN,Huron Consulting Group Inc.,8742,Office of Trade & Services,SERVICES-MANAGEMENT CONSULTING SERVICES,1289848
HVT,HAVERTY FURNITURE COMPANIES INC,5712,Office of Trade & Services,RETAIL-FURNITURE STORES,216085
HWC,HANCOCK WHITNEY CORP,6022,Office of Finance,STATE COMMERCIAL BANKS,750577
HWKN,HAWKINS INC,5160,Office of Trade & Services,WHOLESALE-CHEMICALS & ALLIED PRODUCTS,46250
HWM,Howmet Aerospace Inc.,3350,Office of Manufacturing,ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS,4281
HXL,HEXCEL CORP /DE/,2821,Industrial Applications and Services,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",717605
HY,"HYSTER-YALE MATERIALS HANDLING, INC.",3537,Office of Technology,"INDUSTRIAL TRUCKS, TRACTORS, TRAILORS & STACKERS",1173514
HYFM,"HYDROFARM HOLDINGS GROUP, INC.",5190,Office of Trade & Services,WHOLESALE-MISCELLANEOUS NONDURABLE GOODS,1695295
HYLN,Hyliion Holdings Corp.,3713,Office of Manufacturing,TRUCK & BUS BODIES,1759631
HYMC,HYCROFT MINING HOLDING CORP,1040,Office of Energy & Transportation,GOLD AND SILVER ORES,1718405
HYZN,Hyzon Motors Inc.,3620,Office of Manufacturing,ELECTRICAL INDUSTRIAL APPARATUS,1716583
HZNP,"HORIZON PHARMA, INC.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1492426
HZO,MARINEMAX INC,5531,Office of Trade & Services,RETAIL-AUTO & HOME SUPPLY STORES,1057060
IAA,"IAA, Inc.",5500,Office of Trade & Services,RETAIL-AUTO DEALERS & GASOLINE STATIONS,1745041
IAC,IAC/INTERACTIVECORP,5990,Office of Trade & Services,"RETAIL-RETAIL STORES, NEC",891103
IART,INTEGRA LIFESCIENCES HOLDINGS CORP,3826,Industrial Applications and Services,LABORATORY ANALYTICAL INSTRUMENTS,917520
IAS,INTEGRAL AD SCIENCE HOLDING CORP.,7370,Office of Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",1842718
IBCP,INDEPENDENT BANK CORP /MI/,6022,Office of Finance,STATE COMMERCIAL BANKS,39311
IBKR,"Interactive Brokers Group, Inc.",6211,Office of Finance,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",1381197
IBM,INTERNATIONAL BUSINESS MACHINES CORP,3570,Office of Technology,COMPUTER & OFFICE EQUIPMENT,51143
IBOC,INTERNATIONAL BANCSHARES CORP,6022,Office of Finance,STATE COMMERCIAL BANKS,315709
IBP,"Installed Building Products, Inc.",1520,Office of Real Estate & Construction,GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS,1580905
IBRX,"ImmunityBio, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1326110
IBTX,"Independent Bank Group, Inc.",6022,Office of Finance,STATE COMMERCIAL BANKS,1564618
ICE,INTERCONTINENTALEXCHANGE INC,6200,Office of Finance,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES",1174746
ICFI,"ICF International, Inc.",8742,Office of Trade & Services,SERVICES-MANAGEMENT CONSULTING SERVICES,1362004
ICHR,"ICHOR HOLDINGS, LTD.",3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,1652535
ICPT,INTERCEPT PHARMACEUTICALS INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1270073
ICUI,ICU MEDICAL INC/DE,3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,883984
ICVX,"Icosavax, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1786255
IDA,IDAHO POWER CO,4911,Office of Energy & Transportation,ELECTRIC SERVICES,49648
IDCC,"InterDigital, Inc.",6794,Office of Real Estate & Construction,PATENT OWNERS & LESSORS,1405495
IDT,IDT CORP,4813,Office of Technology,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),1005731
IDXX,IDEXX LABORATORIES INC /DE,2835,Office of Life Sciences,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,874716
IDYA,"IDEAYA Biosciences, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1676725
IEA,"Infrastructure & Energy Alternatives, Inc.",6770,Office of Real Estate & Construction,BLANK CHECKS,1652362
IESC,INTEGRATED ELECTRICAL SERVICES INC,1731,Office of Real Estate & Construction,ELECTRICAL WORK,1048268
IEX,IDEX CORP /DE/,3561,Office of Technology,PUMPS & PUMPING EQUIPMENT,832101
IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC,2860,Industrial Applications and Services,INDUSTRIAL ORGANIC CHEMICALS,51253
IGMS,"IGM Biosciences, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1496323
IGT,INTERNATIONAL GAME TECHNOLOGY,3990,Office of Manufacturing,MISCELLANEOUS MANUFACTURING INDUSTRIES,353944
IHRT,"iHeartMedia, Inc.",4832,Office of Technology,RADIO BROADCASTING STATIONS,1400891
III,Information Services Group Inc.,8742,Office of Trade & Services,SERVICES-MANAGEMENT CONSULTING SERVICES,1371489
IIIN,INSTEEL INDUSTRIES INC,3310,Office of Manufacturing,"STEEL WORKS, BLAST FURNACES & ROLLING & FINISHING MILLS",764401
IIIV,"i3 Verticals, Inc.",7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",1728688
IIPR,INNOVATIVE INDUSTRIAL PROPERTIES INC,6500,Office of Real Estate & Construction,REAL ESTATE,1677576
IIVI,II-VI INC,3827,Industrial Applications and Services,OPTICAL INSTRUMENTS & LENSES,820318
ILMN,ILLUMINA INC,3826,Industrial Applications and Services,LABORATORY ANALYTICAL INSTRUMENTS,1110803
ILPT,Industrial Logistics Properties Trust,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1717307
IMAX,IMAX CORP,3861,Industrial Applications and Services,PHOTOGRAPHIC EQUIPMENT & SUPPLIES,921582
IMGN,IMMUNOGEN INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,855654
IMGO,"Imago BioSciences, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1623715
IMKTA,INGLES MARKETS INC,5411,Office of Trade & Services,RETAIL-GROCERY STORES,50493
IMVT,"Immunovant, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1764013
IMXI,"International Money Express, Inc.",7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",1683695
INBK,First Internet Bancorp,6022,Office of Finance,STATE COMMERCIAL BANKS,1562463
INBX,"Inhibrx, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1739614
INCY,INCYTE CORP,8731,Industrial Applications and Services,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,879169
INDB,INDEPENDENT BANK CORP,6022,Office of Finance,STATE COMMERCIAL BANKS,776901
INDI,"indie Semiconductor, Inc.",3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,1841925
INDT,"INDUS REALTY TRUST, INC.",6500,Office of Real Estate & Construction,REAL ESTATE,1037390
INFA,INFORMATICA CORP,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1080099
INFN,INFINERA CORP,3661,Office of Manufacturing,TELEPHONE & TELEGRAPH APPARATUS,1138639
INGN,Inogen Inc,3842,Industrial Applications and Services,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",1294133
INGR,Ingredion Inc,2040,Office of Manufacturing,GRAIN MILL PRODUCTS,1046257
INN,"Summit Hotel OP, LP",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1497612
INNV,InnovAge Holding Corp.,8000,Industrial Applications and Services,SERVICES-HEALTH SERVICES,1834376
INO,"INOVIO PHARMACEUTICALS, INC.",3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,1055726
INSE,"Inspired Entertainment, Inc.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1615063
INSG,INSEEGO CORP.,3669,Office of Manufacturing,"COMMUNICATIONS EQUIPMENT, NEC",1022652
INSM,INSMED INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1104506
INSP,INFOSPACE INC,7374,Office of Technology,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,1068875
INST,INSTRUCTURE INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1355754
INSW,Internet Patents Corp,7389,Office of Trade & Services,"SERVICES-BUSINESS SERVICES, NEC",1077370
INT,WORLD FUEL SERVICES CORP,5172,Office of Trade & Services,WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS),789460
INTA,"Intapp, Inc.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1565687
INTC,INTEL CORP,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,50863
INTU,INTUIT INC,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,896878
INVA,"Innoviva, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1080014
INVE,"IDENTIVE GROUP, INC.",3577,Office of Technology,"COMPUTER PERIPHERAL EQUIPMENT, NEC",1036044
INVH,Invitation Homes Inc.,6510,Office of Real Estate & Construction,REAL ESTATE OPERATORS (NO DEVELOPERS) & LESSORS,1687229
IONQ,"IonQ, Inc.",7373,Office of Technology,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,1824920
IONS,IONIS PHARMACEUTICALS INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,874015
IOSP,INNOSPEC INC.,2800,Industrial Applications and Services,CHEMICALS & ALLIED PRODUCTS,1054905
IOVA,"IOVANCE BIOTHERAPEUTICS, INC.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1425205
IP,INTERNATIONAL PAPER CO /NEW/,2621,Office of Manufacturing,PAPER MILLS,51434
IPAR,INTER PARFUMS INC,2844,Industrial Applications and Services,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",822663
IPG,"INTERPUBLIC GROUP OF COMPANIES, INC.",7311,Office of Trade & Services,SERVICES-ADVERTISING AGENCIES,51644
IPGP,IPG PHOTONICS CORP,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,1111928
IPI,"Intrepid Potash, Inc.",1400,Office of Energy & Transportation,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),1421461
IPSC,"Century Therapeutics, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1850119
IQV,IQVIA HOLDINGS INC.,8731,Industrial Applications and Services,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,1478242
IR,Ingersoll-Rand plc,8731,Industrial Applications and Services,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,1466258
IRBT,IROBOT CORP,3630,Office of Manufacturing,HOUSEHOLD APPLIANCES,1159167
IRDM,Iridium Communications Inc.,3669,Office of Manufacturing,"COMMUNICATIONS EQUIPMENT, NEC",1418819
IRM,IRON MOUNTAIN INC,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1020569
IRMD,IRADIMED CORP,3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,1325618
IRNT,"IronNet, Inc.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1777946
IRT,"INDEPENDENCE REALTY TRUST, INC",6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1466085
IRTC,"iRhythm Technologies, Inc.",3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,1388658
IRWD,IRONWOOD PHARMACEUTICALS INC,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1446847
ISEE,"IVERIC bio, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1410939
ISRG,INTUITIVE SURGICAL INC,3842,Industrial Applications and Services,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",1035267
IT,GARTNER INC,8741,Office of Trade & Services,SERVICES-MANAGEMENT SERVICES,749251
ITCI,"Intra-Cellular Therapies, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1567514
ITGR,Integer Holdings Corp,3690,Office of Manufacturing,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES",1114483
ITIC,INVESTORS TITLE CO,6361,Office of Finance,TITLE INSURANCE,720858
ITOS,"iTeos Therapeutics, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1808865
ITRI,ITRON INC /WA/,3825,Industrial Applications and Services,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,780571
ITT,ITT CORP,3561,Office of Technology,PUMPS & PUMPING EQUIPMENT,216228
ITW,ILLINOIS TOOL WORKS INC,3560,Office of Technology,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,49826
IVR,Invesco Mortgage Capital Inc.,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1437071
IVT,InvenTrust Properties Corp.,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1307748
IVZ,Invesco Ltd.,6282,Office of Finance,INVESTMENT ADVICE,914208
J,JACOBS ENGINEERING GROUP INC /DE/,1600,Office of Real Estate & Construction,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,52988
JACK,JACK IN THE BOX INC /NEW/,5812,Office of Trade & Services,RETAIL-EATING PLACES,807882
JAMF,Jamf Holding Corp.,7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1721947
JANX,"Janux Therapeutics, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1817713
JAZZ,Jazz Pharmaceuticals plc,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1232524
JBGS,JBG SMITH Properties,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1689796
JBHT,HUNT J B TRANSPORT SERVICES INC,4213,Office of Energy & Transportation,TRUCKING (NO LOCAL),728535
JBI,"Janus International Group, Inc.",3442,Office of Manufacturing,"METAL DOORS, SASH, FRAMES, MOLDINGS & TRIM",1839839
JBL,JABIL CIRCUIT INC,3672,Office of Manufacturing,PRINTED CIRCUIT BOARDS,898293
JBLU,JETBLUE AIRWAYS CORP,4512,Office of Energy & Transportation,"AIR TRANSPORTATION, SCHEDULED",1158463
JBSS,SANFILIPPO JOHN B & SON INC,2060,Office of Manufacturing,SUGAR & CONFECTIONERY PRODUCTS,880117
JBT,John Bean Technologies CORP,3550,Office of Technology,SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY),1433660
JCI,JOHNSON CONTROLS INC,2531,Office of Manufacturing,PUBLIC BLDG & RELATED FURNITURE,53669
JEF,JEFFERIES GROUP INC /DE/,6211,Office of Finance,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",1084580
JELD,"JELD-WEN Holding, Inc.",2430,Office of Manufacturing,"MILLWOOD, VENEER, PLYWOOD, & STRUCTURAL WOOD MEMBERS",1674335
JHG,JANUS HENDERSON GROUP PLC,6282,Office of Finance,INVESTMENT ADVICE,1274173
JJSF,J&J SNACK FOODS CORP,2052,Office of Manufacturing,COOKIES & CRACKERS,785956
JKHY,HENRY JACK & ASSOCIATES INC,7373,Office of Technology,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,779152
JLL,JONES LANG LASALLE INC,6531,Office of Real Estate & Construction,REAL ESTATE AGENTS & MANAGERS (FOR OTHERS),1037976
JNCE,"Jounce Therapeutics, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1640455
JNJ,JOHNSON & JOHNSON,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,200406
JNPR,JUNIPER NETWORKS INC,3576,Office of Technology,COMPUTER COMMUNICATIONS EQUIPMENT,1043604
JOAN,JOANN Inc.,5940,Office of Trade & Services,RETAIL-MISCELLANEOUS SHOPPING GOODS STORES,1834585
JOBY,"Joby Aviation, Inc.",3721,Office of Manufacturing,AIRCRAFT,1819848
JOE,ST JOE CO,6552,Office of Real Estate & Construction,LAND SUBDIVIDERS & DEVELOPERS (NO CEMETERIES),745308
JOUT,JOHNSON OUTDOORS INC,3949,Office of Manufacturing,"SPORTING & ATHLETIC GOODS, NEC",788329
JPM,J P MORGAN CHASE & CO,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,19617
JRVR,"James River Group Holdings, Ltd.",6331,Office of Finance,"FIRE, MARINE & CASUALTY INSURANCE",1620459
JWN,NORDSTROM INC,5651,Office of Trade & Services,RETAIL-FAMILY CLOTHING STORES,72333
JXN,Jackson Financial Inc.,6311,Office of Finance,LIFE INSURANCE,1822993
JYNT,JOINT Corp,6794,Office of Real Estate & Construction,PATENT OWNERS & LESSORS,1612630
K,KELLOGG CO,2040,Office of Manufacturing,GRAIN MILL PRODUCTS,55067
KAI,KADANT INC,3550,Office of Technology,SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY),886346
KALU,KAISER ALUMINUM CORP,3350,Office of Manufacturing,ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS,811596
KALV,"KalVista Pharmaceuticals, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1348911
KAMN,KAMAN CORP,5080,Office of Trade & Services,"WHOLESALE-MACHINERY, EQUIPMENT & SUPPLIES",54381
KAR,"KAR Auction Services, Inc.",5500,Office of Trade & Services,RETAIL-AUTO DEALERS & GASOLINE STATIONS,1395942
KBAL,KIMBALL INTERNATIONAL INC,2510,Office of Manufacturing,HOUSEHOLD FURNITURE,55772
KBH,KB HOME,1531,Office of Real Estate & Construction,OPERATIVE BUILDERS,795266
KBR,"KBR, INC.",1600,Office of Real Estate & Construction,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,1357615
KD,"Kyndryl Holdings, Inc.",7373,Office of Technology,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,1867072
KDNY,"CHINOOK THERAPEUTICS, INC.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1435049
KDP,Keurig Dr Pepper Inc.,2080,Office of Manufacturing,BEVERAGES,1418135
KE,"Kimball Electronics, Inc.",3672,Office of Manufacturing,PRINTED CIRCUIT BOARDS,1606757
KELYA,KELLY SERVICES INC,7363,Office of Trade & Services,SERVICES-HELP SUPPLY SERVICES,55135
KEX,KIRBY CORP,4400,Office of Energy & Transportation,WATER TRANSPORTATION,56047
KEY,KEYCORP /NEW/,6021,Office of Finance,NATIONAL COMMERCIAL BANKS,91576
KEYS,"Keysight Technologies, Inc.",3823,Industrial Applications and Services,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",1601046
KFRC,KFORCE INC,7363,Office of Trade & Services,SERVICES-HELP SUPPLY SERVICES,930420
KFY,KORN FERRY INTERNATIONAL,7361,Office of Trade & Services,SERVICES-EMPLOYMENT AGENCIES,56679
KHC,Kraft Heinz Co,2030,Office of Manufacturing,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES",1637459
KIDS,ORTHOPEDIATRICS CORP,3841,Industrial Applications and Services,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,1425450
KIM,KIMCO REALTY CORP,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,879101
KKR,KKR & Co. L.P.,6282,Office of Finance,INVESTMENT ADVICE,1404912
KLAC,KLA TENCOR CORP,3827,Industrial Applications and Services,OPTICAL INSTRUMENTS & LENSES,319201
KLIC,KULICKE & SOFFA INDUSTRIES INC,3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,56978
KLR,"Kaleyra, Inc.",7374,Office of Technology,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,1719489
KMB,KIMBERLY CLARK CORP,2670,Office of Manufacturing,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES),55785
KMI,"KINDER MORGAN, INC.",4922,Office of Energy & Transportation,NATURAL GAS TRANSMISSION,1506307
KMPR,KEMPER Corp,6331,Office of Finance,"FIRE, MARINE & CASUALTY INSURANCE",860748
KMT,KENNAMETAL INC,3541,Office of Technology,"MACHINE TOOLS, METAL CUTTING TYPES",55242
KMX,CARMAX INC,5500,Office of Trade & Services,RETAIL-AUTO DEALERS & GASOLINE STATIONS,1170010
KN,Knowles Corp,3651,Office of Manufacturing,HOUSEHOLD AUDIO & VIDEO EQUIPMENT,1587523
KNBE,"KnowBe4, Inc.",7370,Office of Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",1664998
KNSA,"Kiniksa Pharmaceuticals, Ltd.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1730430
KNSL,"Kinsale Capital Group, Inc.",6331,Office of Finance,"FIRE, MARINE & CASUALTY INSURANCE",1669162
KNTE,Kinnate Biopharma Inc.,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1797768
KNX,KNIGHT TRANSPORTATION INC,4213,Office of Energy & Transportation,TRUCKING (NO LOCAL),929452
KO,COCA COLA CO,2080,Office of Manufacturing,BEVERAGES,21344
KOD,Kodiak Sciences Inc.,2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1468748
KODK,EASTMAN KODAK CO,3861,Industrial Applications and Services,PHOTOGRAPHIC EQUIPMENT & SUPPLIES,31235
KOP,Koppers Holdings Inc.,2400,Office of Manufacturing,LUMBER & WOOD PRODUCTS (NO FURNITURE),1315257
KORE,"KORE Group Holdings, Inc.",4813,Office of Technology,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),1855457
KOS,Kosmos Energy Ltd.,1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS,1509991
KPTI,Karyopharm Therapeutics Inc.,2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1503802
KR,KROGER CO,5411,Office of Trade & Services,RETAIL-GROCERY STORES,56873
KRC,KILROY REALTY CORP,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1025996
KREF,KKR Real Estate Finance Trust Inc.,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1631596
KRG,KITE REALTY GROUP TRUST,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1286043
KRNY,Kearny Financial Corp.,6035,Office of Finance,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",1617242
KRO,KRONOS WORLDWIDE INC,2810,Industrial Applications and Services,INDUSTRIAL INORGANIC CHEMICALS,1257640
KRON,"Kronos Bio, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1741830
KROS,"Keros Therapeutics, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1664710
KRT,Karat Packaging Inc.,3089,Industrial Applications and Services,"PLASTICS PRODUCTS, NEC",1758021
KRTX,"Karuna Therapeutics, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1771917
KRUS,"KURA SUSHI USA, INC.",5812,Office of Trade & Services,RETAIL-EATING PLACES,1772177
KRYS,"Krystal Biotech, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1711279
KSS,KOHLS CORPORATION,5311,Office of Trade & Services,RETAIL-DEPARTMENT STORES,885639
KTB,"Kontoor Brands, Inc.",2320,Office of Manufacturing,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS",1760965
KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",4899,Office of Technology,"COMMUNICATIONS SERVICES, NEC",1069258
KURA,"Kura Oncology, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1422143
KW,"Kennedy-Wilson Holdings, Inc.",6500,Office of Real Estate & Construction,REAL ESTATE,1408100
KWR,QUAKER CHEMICAL CORP,2990,Office of Energy & Transportation,MISCELLANEOUS PRODUCTS OF PETROLEUM & COAL,81362
KYMR,"Kymera Therapeutics, Inc.",2836,Office of Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1815442
KZR,"Kezar Life Sciences, Inc.",2834,Office of Life Sciences,PHARMACEUTICAL PREPARATIONS,1645666
L,LOEWS CORP,6331,Office of Finance,"FIRE, MARINE & CASUALTY INSURANCE",60086
LAD,LITHIA MOTORS INC,5500,Office of Trade & Services,RETAIL-AUTO DEALERS & GASOLINE STATIONS,1023128
LADR,Ladder Capital Corp,6500,Office of Real Estate & Construction,REAL ESTATE,1577670
LAMR,LAMAR MEDIA CORP/DE,7311,Office of Trade & Services,SERVICES-ADVERTISING AGENCIES,899045
LANC,LANCASTER COLONY CORP,2030,Office of Manufacturing,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES",57515
LAND,GLADSTONE LAND Corp,6798,Office of Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS,1495240
LASR,"NLIGHT, INC.",3674,Office of Manufacturing,SEMICONDUCTORS & RELATED DEVICES,1124796
LAUR,"LAUREATE EDUCATION, INC.",8200,Office of Trade & Services,SERVICES-EDUCATIONAL SERVICES,912766
LAW,"CS Disco, Inc.",7372,Office of Technology,SERVICES-PREPACKAGED SOFTWARE,1625641
LAZ,Lazard Ltd,6282,Office of Finance,INVESTMENT ADVICE,1311370
LAZR,"Luminar Technologies, Inc./DE",3714,Office of Manufacturing,MOTOR VEHICLE PARTS & ACCESSORIES,1758057
LBAI,LAKELAND BANCORP INC,6022,Office of Finance,STATE COMMERCIAL BANKS,846901
LBC,Luther Burbank Corp,6022,Office of Finance,STATE COMMERCIAL BANKS,1475348
LBRDA,Liberty Broadband Corp,4841,Office of Technology,CABLE & OTHER PAY TELEVISION SERVICES,1611983
LBRDK,Liberty Broadband Corp,4841,Office of Technology,CABLE & OTHER PAY TELEVISION SERVICES,1611983
LBRT,Liberty Oilfield Services Inc.,1389,Office of Energy & Transportation,"OIL & GAS FIELD SERVICES, NEC",1694028
LC,LendingClub Corp,6199,Office of Finance or Office of Crypto Assets,FINANCE SERVICES,1409970
LCID,"Lucid Group, Inc.",3711,Office of Manufacturing,MOTOR VEHICLES & PASSENGER CAR BODIES,1811210
LCII,LCI INDUSTRIES,3714,Office of Manufacturing,MOTOR VEHICLE PARTS & ACCESSORIES,763744
